school,division,gender,jersey,name,position,class_year,height_in,hometown,major,club_team
Creighton,D1,M,2,Matthew Reed,D,Sr,71.0,"Felton, Del.",,
Creighton,D1,M,3,Brian Edelman,D,So,73.0,"Warren, N.J.",,
Creighton,D1,M,4,Andrija Savic,D,Sr,76.0,"Belgrade, Serbia",,
Creighton,D1,M,5,Caden Johnson,D,Jr,73.0,"Glenwood, Iowa",,
Creighton,D1,M,6,Lucas Cavalcante,M,So,73.0,"Dallas, Texas",,
Creighton,D1,M,7,Bautista Rossi,F,Jr,71.0,"Rosario, Argentina",,
Creighton,D1,M,8,Carter Derksen,M,Fr,,"Lee's Summit, Mo.",,
Creighton,D1,M,9,"Miguel ""Angel"" Lopez",M,Jr,71.0,"Dodge City, Kan.",,
Creighton,D1,M,10,Ayden Kokoszka,M,So,70.0,"Easthampton, Mass.",,
Creighton,D1,M,11,Carter Tavares-Roche,M,Fr,70.0,,,
Creighton,D1,M,12,Jordan Igwenma,F,Fr,,"Omaha, Neb.",,
Creighton,D1,M,13,Diego Ferruzzi,M,Sr,69.0,"McKinney, Texas",,
Creighton,D1,M,14,Aaron Deppe,D,Jr,69.0,"Coopersville, Mich.",,
Creighton,D1,M,15,Mario Albert,M,Fr,70.0,"Castellon, Spain",,
Creighton,D1,M,16,Ange Gbe,M,So,67.0,"Toronto, Canada",,
Creighton,D1,M,17,Toraji Narazaki,M,Jr,,"Osaka, Japan",,
Creighton,D1,M,18,Grady Gilchrist,F,Fr,,"Albuquerque, N.M.",,
Creighton,D1,M,19,Allan Juarez,M,Sr,,"San Francisco, Calif.",,
Creighton,D1,M,20,Brady Bragg,M,So,71.0,"Omaha, Neb.",,
Creighton,D1,M,21,Spencer Sappleton,D,Fr,,"Toronto, Canada",,
Creighton,D1,M,22,Edward Morales,M,Sr,68.0,"McAllen, Texas",,
Creighton,D1,M,23,Connor Munn,D,Fr,,"Bedford, Nova Scotia",,
Creighton,D1,M,24,Clayton Brooks,GK,Sr,,"Louisville, Ky.",,
Creighton,D1,M,25,Peter Westling,D,Fr,72.0,"Elkhorn, Neb.",,
Creighton,D1,M,27,Sam Leonard,F,Fr,70.0,"Clayton, Mo.",,
Creighton,D1,M,30,Amari Thompson,GK,Sr,,"Brooklyn, N.Y.",,
Creighton,D1,M,33,Andreas Frint,GK,Fr,,"Vienna, Austria",,
Syracuse,D1,M,1,Kyle Jansen,GK,So,,"Marietta, Ga.",,
Syracuse,D1,M,2,Chimere Omeze,D,So,,"Brampton, Ontario",,
Syracuse,D1,M,5,Dominic Bell,D,So,,"Orlando, Fla.",,
Syracuse,D1,M,6,Ivan Irinimbabazi,M,Fr,,,,
Syracuse,D1,M,7,Nathan Scott,M,Jr,,"San Jose, Calif.",,
Syracuse,D1,M,8,Jackson Miller,M,Sr,,"San Diego, Calif.",,
Syracuse,D1,M,11,Bryson Rodriguez,M,Fr,,"Liberia, Costa Rica",,
Syracuse,D1,M,19,Badr Laghjibi,M,Fr,,"Reston, Va.",,
Syracuse,D1,M,21,Landon Darko,M,Fr,,"Fairburn, Ga.",,
Syracuse,D1,M,22,Kelvin Da Costa,M,So,,"Maputo, Mozambique",,
Syracuse,D1,M,24,Sachiel Ming,M,So,,"Southampton, Bermuda",,
Syracuse,D1,M,25,Grayson Lamb,GK,Fr,,"Portland, Ore.",,
